﻿RegisteredTypeName	ReferenceCount	SampleFiles
PungentGazeBuff	1	FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
PurgedBuff	1	FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
PurifiedBuff	1	FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
PurpleCandleBuff	1	FargowiltasCrossmod.Core.Calamity.Globals/CalDLCTileChanges.cs
ReaverRage	2	FargowiltasCrossmod.Content.Calamity.Items.Accessories.Enchantments/HydrothermicEffect.cs|FargowiltasCrossmod.Content.Calamity.Items.Accessories.Enchantments/ReaverEffect.cs
ReverseManaFlowBuff	1	FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
RiptideDebuff	1	FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs
RottingBuff	1	FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
RushJobBuff	1	FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
SagePoison	1	FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs
SearingLava	1	FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs
Shadowflame	1	FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs
ShadowflameBuff	2	FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs|FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
Shred	1	FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs
SilvaRevival	1	FargowiltasCrossmod.Core.Calamity.ModPlayers/CalDLCPlayer.cs
SmiteBuff	1	FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
SnowstormCDBuff	1	FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
SolarFlareBuff	2	FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs|FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
SqueakyToyBuff	1	FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
StaticDischarge	1	FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs
StunnedBuff	1	FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
SulphuricPoisoning	3	FargowiltasCrossmod.Content.Calamity.Projectiles/GaleSpine.cs|FargowiltasCrossmod.Content.Calamity.Projectiles/SulphurParticulate.cs|FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs
SwarmingBuff	1	FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
TimeFrozenBuff	1	FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
TrueVulnerabilityHex	1	FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs
TwinsInstallBuff	2	FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs|FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
UnluckyBuff	1	FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
UnstableBuff	1	FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
Vaporfied	1	FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs
VermillionFlux	1	FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs
Voidfrost	1	FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs
VulnerabilityHex	3	FargowiltasCrossmod.Content.Calamity.Bosses.CalamitasClone/BrimstoneBarrageGravitating.cs|FargowiltasCrossmod.Content.Common.Bosses.Mutant/MutantSCal.cs|FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs
WeakBrimstoneFlames	2	FargowiltasCrossmod.Content.Calamity.Bosses.BrimstoneElemental/BrimstoneFireblast.cs|FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs
WhisperingDeath	3	FargowiltasCrossmod.Content.Common.Bosses.Mutant/MutantDoGBody.cs|FargowiltasCrossmod.Content.Common.Bosses.Mutant/MutantDoGHead.cs|FargowiltasCrossmod.Content.Common.Bosses.Mutant/MutantDoGTail.cs
YellowCandleBuff	1	FargowiltasCrossmod.Core.Calamity.Globals/CalDLCTileChanges.cs
