﻿# Buff scan diff
# Old: Spooky @ 2026-05-20T07:20:17.9232119Z
# New: CalamityMod @ 2026-05-20T07:42:31.0337844Z
Change	StableKey	OldPhase	NewPhase	OldFile	NewFile	Note
Removed	Spooky/OldHunterBuff	Unknown		Buffs/Minion/OldHunterBuff.cs		
Removed	Spooky/OrroboroPetBuff	CombatVisual		Buffs/Pets/OrroboroPetBuff.cs		
Removed	Spooky/PandoraBeanBuff	CombatVisual		Buffs/Pets/PandoraBeanBuff.cs		
Removed	Spooky/PandoraCrossCooldown	Unknown		Buffs/Debuff/PandoraCrossCooldown.cs		
Removed	Spooky/PandoraHandCooldown	Unknown		Buffs/Debuff/PandoraHandCooldown.cs		
Removed	Spooky/PepperMinionBuff	Unknown		Buffs/Minion/PepperMinionBuff.cs		
Removed	Spooky/PepperSpice	CombatVisual		Buffs/Debuff/PepperSpice.cs		
Removed	Spooky/PeptoDebuff	Unknown		Buffs/Debuff/PeptoDebuff.cs		
Removed	Spooky/PetscopBuff	CombatVisual		Buffs/Pets/PetscopBuff.cs		
Removed	Spooky/PetscopMarvinBuff	CombatVisual		Buffs/Pets/PetscopMarvinBuff.cs		
Removed	Spooky/PetscopTiaraBuff	CombatVisual		Buffs/Pets/PetscopTiaraBuff.cs		
Removed	Spooky/PheromoneWhipDebuff	Unknown		Buffs/WhipDebuff/PheromoneWhipDebuff.cs		
Removed	Spooky/PiercedBleedDebuff	CombatVisual		Buffs/Debuff/PiercedBleedDebuff.cs		
Removed	Spooky/PiercedDebuff	Unknown		Buffs/Debuff/PiercedDebuff.cs		
Removed	Spooky/Possessed	Unknown		Buffs/Debuff/Possessed.cs		
Removed	Spooky/PumpkinHeadBuff	Unknown		Buffs/Minion/PumpkinHeadBuff.cs		
Removed	Spooky/PuttyPetBuff	CombatVisual		Buffs/Pets/PuttyPetBuff.cs		
Removed	Spooky/RatPetBuff	CombatVisual		Buffs/Pets/RatPetBuff.cs		
Removed	Spooky/RotGourdMinionBuff	Unknown		Buffs/Minion/RotGourdMinionBuff.cs		
Removed	Spooky/RotGourdPetBuff	CombatVisual		Buffs/Pets/RotGourdPetBuff.cs		
Removed	Spooky/SadDebuff	Stat		Buffs/Debuff/SadDebuff.cs		
Removed	Spooky/SamsonCuffDebuff	Unknown		Buffs/Debuff/SamsonCuffDebuff.cs		
Removed	Spooky/SeaSpongeBuff	Unknown		Buffs/SeaSpongeBuff.cs		
Removed	Spooky/SentientChainKnifeBleed	CombatVisual		Buffs/Debuff/SentientChainKnifeBleed.cs		
Removed	Spooky/SentientHarpoonSlow	CombatVisual		Buffs/Debuff/SentientHarpoonSlow.cs		
Removed	Spooky/SentientKeybrandDebuff	Unknown		Buffs/Debuff/SentientKeybrandDebuff.cs		
Removed	Spooky/SentientLeatherWhipDebuff	Unknown		Buffs/WhipDebuff/SentientLeatherWhipDebuff.cs		
Removed	Spooky/SentientOpticStaffBuff	Unknown		Buffs/Minion/SentientOpticStaffBuff.cs		
Removed	Spooky/ShroomHopperBuff	CombatVisual		Buffs/Pets/ShroomHopperBuff.cs		
Removed	Spooky/ShroomWhipDebuff	Unknown		Buffs/WhipDebuff/ShroomWhipDebuff.cs		
Removed	Spooky/SinisterSnailBuff	CombatVisual		Buffs/Pets/SinisterSnailBuff.cs		
Removed	Spooky/SkullEmojiBuff	CombatVisual		Buffs/Pets/SkullEmojiBuff.cs		
Removed	Spooky/SkullFrenzyBuff	Stat		Buffs/SkullFrenzyBuff.cs		
Removed	Spooky/SkullGoopBuff	CombatVisual		Buffs/Pets/SkullGoopBuff.cs		
Removed	Spooky/SkullTotemBuff	Stat		Buffs/Minion/SkullTotemBuff.cs		
Removed	Spooky/SkullWispBuff	Unknown		Buffs/Minion/SkullWispBuff.cs		
Removed	Spooky/SlendermanPageBuff	Unknown		Buffs/SlendermanPageBuff.cs		
Removed	Spooky/SludgePetBuff	CombatVisual		Buffs/Pets/SludgePetBuff.cs		
Removed	Spooky/SmokerCoughDebuff	CombatVisual		Buffs/Debuff/SmokerCoughDebuff.cs		
Removed	Spooky/SmokerLungCooldown	Unknown		Buffs/Debuff/SmokerLungCooldown.cs		
Removed	Spooky/SoulSkullBuff	Unknown		Buffs/Minion/SoulSkullBuff.cs		
Removed	Spooky/SpearfishBleed	CombatVisual		Buffs/Debuff/SpearfishBleed.cs		
Removed	Spooky/SpiderArmorStealth	Stat		Buffs/SpiderArmorStealth.cs		
