﻿RegisteredTypeName	ReferenceCount	SampleFiles
HellFireMarkedBuff	2	Projectiles/BossWeapons/HellGuardian.cs|Bosses/Champions/Life/LifeChampion.cs
HexedBuff	11	Projectiles/EModeGlobalProjectile.cs|Bosses/DeviBoss/DeviBoss.cs|Bosses/MutantBoss/MutantFragment.cs|Buffs/Masomode/MutantNibbleBuff.cs|Buffs/Masomode/SadismBuff.cs
HypothermiaBuff	19	Projectiles/EModeGlobalProjectile.cs|Bosses/MutantBoss/MutantShadowHand.cs|Bosses/VanillaEternity/Deerclops.cs|Bosses/VanillaEternity/IceQueen.cs|Buffs/Masomode/SadismBuff.cs
InfestedBuff	36	Projectiles/EModeGlobalProjectile.cs|Bosses/MutantBoss/MutantCrystalLeaf.cs|Bosses/MutantBoss/MutantMark2.cs|Bosses/VanillaEternity/QueenBee.cs|Buffs/Masomode/NeurotoxinBuff.cs
IvyVenom	1	Projectiles/Masomode/DicerPlantera.cs
IvyVenomBuff	15	Projectiles/EModeGlobalProjectile.cs|Bosses/MutantBoss/MutantCrystalLeaf.cs|Bosses/MutantBoss/MutantMark2.cs|Bosses/VanillaEternity/Plantera.cs|Buffs/Masomode/SadismBuff.cs
JammedBuff	9	Bosses/MutantBoss/MutantFragment.cs|Bosses/MutantBoss/MutantPillar.cs|Buffs/Masomode/SadismBuff.cs|Projectiles/Masomode/CelestialFragment.cs|Projectiles/Masomode/CelestialPillar.cs
JungleMimicSummonBuff	2	Projectiles/JungleMimic/JungleMimicSummon.cs|Items/Weapons/Misc/OvergrownKey.cs
KingSlimeMinionBuff	1	Patreon/Catsounds/MedallionoftheFallenKing.cs
LeadPoisonBuff	5	Bosses/MutantBoss/MutantBoss.cs|Buffs/Souls/LeadPoisonBuff.cs|Projectiles/Souls/ObsidianExplosion.cs|Projectiles/Souls/TerraLightning.cs|Items/Accessories/Enchantments/LeadEnchant.cs
LethargicBuff	50	Projectiles/EModeGlobalProjectile.cs|Bosses/AbomBoss/AbomBoss.cs|Bosses/AbomBoss/AbomSaucer.cs|Bosses/BanishedBaron/BanishedBaron.cs|Bosses/CursedCoffin/CursedCoffin.cs
LightningRod	1	Bosses/Champions/Cosmos/CosmosLightningOrb.cs
LightningRodBuff	30	Projectiles/EModeGlobalProjectile.cs|Bosses/AbomBoss/AbomBoss.cs|Bosses/AbomBoss/AbomSaucer.cs|Bosses/MutantBoss/MutantBoss.cs|Bosses/MutantBoss/MutantDestroyerBody.cs
LihzahrdBlessingBuff	1	Tiles/EModeGlobalTile.cs
LihzahrdCurseBuff	7	Items/EModeGlobalItem.cs|Tiles/EModeGlobalTile.cs|Buffs/Masomode/LihzahrdBlessingBuff.cs|Buffs/Masomode/SadismBuff.cs|Items/Accessories/Masomode/ChaliceoftheMoon.cs
LivingWasteland	3	Bosses/AbomBoss/AbomScytheFlaming.cs|NPCs/EternityModeNPCs/VanillaEnemies/PirateInvasion/Parrot.cs|NPCs/EternityModeNPCs/VanillaEnemies/PirateInvasion/Pirates.cs
LivingWastelandBuff	18	Projectiles/EModeGlobalProjectile.cs|Bosses/VanillaEternity/Pumpking.cs|Buffs/Masomode/SadismBuff.cs|Projectiles/Masomode/FlamingJack.cs|Projectiles/Masomode/HorsemansBlade.cs
LoosePockets	6	NPCs/EternityModeNPCs/VanillaEnemies/Cavern/UndeadMiner.cs|NPCs/EternityModeNPCs/VanillaEnemies/FrostMoon/Krampus.cs|NPCs/EternityModeNPCs/VanillaEnemies/GoblinInvasion/Goblins.cs|NPCs/EternityModeNPCs/VanillaEnemies/Night/Wraith.cs|NPCs/EternityModeNPCs/VanillaEnemies/PirateInvasion/Pirates.cs
LoosePocketsBuff	4	Buffs/Masomode/SadismBuff.cs|Buffs/Masomode/ThiefCDBuff.cs|Items/Accessories/Masomode/BionomicCluster.cs|Items/Accessories/Souls/MasochistSoul.cs
