﻿RegisteredTypeName	ReferenceCount	SampleFiles
LightningRodBuff	38	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.AbomBoss/AbomBoss.cs|FargowiltasSouls.Content.Bosses.AbomBoss/AbomSaucer.cs|FargowiltasSouls.Content.Bosses.Champions.Cosmos/CosmosChampion.cs|FargowiltasSouls.Content.Bosses.Champions.Nature/NatureChampionHead.cs
LihzahrdBlessingBuff	1	FargowiltasSouls.Content.Tiles/EModeGlobalTile.cs
LihzahrdCurseBuff	8	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Buffs.Masomode/LihzahrdBlessingBuff.cs|FargowiltasSouls.Content.Buffs.Masomode/SadismBuff.cs|FargowiltasSouls.Content.Items/EModeGlobalItem.cs|FargowiltasSouls.Content.Items.Accessories.Masomode/ChaliceoftheMoon.cs
LivingWastelandBuff	19	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.Champions.Shadow/ShadowFlamingScythe.cs|FargowiltasSouls.Content.Bosses.Champions.Terra/TerraChampion.cs|FargowiltasSouls.Content.Bosses.Champions.Terra/TerraChampionBody.cs|FargowiltasSouls.Content.Bosses.Champions.Terra/TerraFireball.cs
LoosePocketsBuff	6	FargowiltasSouls.Content.Buffs.Masomode/SadismBuff.cs|FargowiltasSouls.Content.Buffs.Masomode/ThiefCDBuff.cs|FargowiltasSouls.Content.Items.Accessories.Masomode/BionomicCluster.cs|FargowiltasSouls.Content.Items.Accessories.Masomode/BionomicClusterInactive.cs|FargowiltasSouls.Content.Items.Accessories.Masomode/SecurityWallet.cs
LovestruckBuff	20	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.DeviBoss/DeviAxe.cs|FargowiltasSouls.Content.Bosses.DeviBoss/DeviBoss.cs|FargowiltasSouls.Content.Bosses.DeviBoss/DeviDevilScythe.cs|FargowiltasSouls.Content.Bosses.DeviBoss/DeviEnergyHeart.cs
LowGroundBuff	8	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.VanillaEternity/Deerclops.cs|FargowiltasSouls.Content.Bosses.VanillaEternity/Golem.cs|FargowiltasSouls.Content.Buffs.Masomode/SadismBuff.cs|FargowiltasSouls.Content.Items.Accessories.Masomode/ChaliceoftheMoon.cs
LowGroundEridanusBuff	2	FargowiltasSouls.Content.Bosses.Champions.Cosmos/CosmosVortex.cs|FargowiltasSouls.Content.NPCs.EternityModeNPCs.VanillaEnemies.LunarEvents.Vortex/VortexVortex.cs
MagicalCleanseCDBuff	1	FargowiltasSouls.Core.ModPlayers/FargoSoulsPlayer.cs
MagicalCurseBuff	1	FargowiltasSouls.Core.ModPlayers/FargoSoulsPlayer.cs
MarkedforDeathBuff	23	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.Champions.Shadow/ShadowGuardian.cs|FargowiltasSouls.Content.Bosses.DeviBoss/DeviGuardian.cs|FargowiltasSouls.Content.Bosses.MutantBoss/MutantGuardian.cs|FargowiltasSouls.Content.Bosses.MutantBoss/MutantPillar.cs
MidasBuff	28	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.Champions.Will/WillBomb.cs|FargowiltasSouls.Content.Bosses.Champions.Will/WillChampion.cs|FargowiltasSouls.Content.Bosses.Champions.Will/WillDeathray.cs|FargowiltasSouls.Content.Bosses.Champions.Will/WillDeathrayBig.cs
MoltenAmplifyBuff	1	FargowiltasSouls.Content.Items.Accessories.Enchantments/MoltenEffect.cs
MonkBuff	1	FargowiltasSouls.Core.ModPlayers/FargoSoulsPlayer.cs
MoonBowBuff	1	FargowiltasSouls.Content.Projectiles.BossWeapons/MoonBowHeld.cs
MushroomPowerBuff	1	FargowiltasSouls.Content.Items/FargoGlobalItem.cs
MutantDesperationBuff	1	FargowiltasSouls.Content.Bosses.MutantBoss/MutantBoss.cs
MutantFangBuff	48	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.MutantBoss/MutantBomb.cs|FargowiltasSouls.Content.Bosses.MutantBoss/MutantBoss.cs|FargowiltasSouls.Content.Bosses.MutantBoss/MutantCrystalLeaf.cs|FargowiltasSouls.Content.Bosses.MutantBoss/MutantDeathray1.cs
